dt,main.aqi,components.co,components.no,components.no2,components.o3,components.so2,components.pm2_5,components.pm10,components.nh3
1725692400,2,317.1,3.74,23.31,15.56,9.06,10.59,12.92,0.46
1725696000,2,323.77,6.87,20.39,16.45,9.66,10.25,13.05,0.54
1725699600,2,323.77,8.27,18.34,19.13,10.49,10.12,13.27,0.7
1725703200,1,287.06,2.07,16.96,57.94,12.76,9.84,13.17,1.09
1725706800,2,273.7,1.48,12.0,71.53,10.85,9.27,11.89,1.22
1725710400,2,267.03,1.23,9.0,81.54,9.3,9.26,11.53,1.36
1725714000,2,273.7,0.78,7.11,90.84,7.57,9.94,12.02,1.55
1725717600,2,273.7,0.55,7.88,89.41,7.51,10.41,12.74,1.66
1725721200,2,270.37,0.32,8.83,86.55,7.21,10.55,13.18,1.71
1725724800,2,273.7,0.25,13.19,74.39,9.3,11.3,14.37,1.68
1725728400,2,287.06,0.08,15.94,62.23,10.25,12.71,15.99,1.39
1725732000,2,293.73,0.0,14.91,58.65,9.54,13.76,16.84,0.93
1725735600,2,290.39,0.0,12.85,60.08,8.23,14.14,16.9,0.63
1725739200,2,287.06,0.0,11.48,59.37,7.39,14.06,16.57,0.55
1725742800,2,283.72,0.0,11.14,57.94,6.97,13.86,16.2,0.51
1725746400,2,277.04,0.0,10.62,57.22,6.68,13.7,15.81,0.46
1725750000,2,273.7,0.0,10.02,57.94,6.74,13.62,15.54,0.45
1725753600,2,277.04,0.0,9.77,60.08,7.15,13.74,15.5,0.47
1725757200,2,277.04,0.0,9.77,60.08,7.33,13.53,15.25,0.48
1725760800,2,273.7,0.0,9.34,56.51,6.62,12.98,14.78,0.42
1725764400,2,267.03,0.0,8.74,52.93,5.78,12.77,14.72,0.34
1725768000,2,260.35,0.0,8.31,50.78,5.25,12.62,14.57,0.3
1725771600,2,270.37,0.01,9.85,47.92,5.9,11.78,13.67,0.42
1725775200,2,283.72,0.4,12.17,47.21,7.09,10.35,12.31,0.67
1725778800,1,290.39,1.09,10.88,55.79,7.63,9.72,11.72,1.01
1725782400,2,297.07,1.52,9.25,62.94,7.87,10.37,12.42,1.3
1725786000,2,297.07,1.66,8.31,70.1,8.23,11.29,13.49,1.5
1725789600,2,290.39,1.36,6.77,80.82,7.45,12.15,14.22,1.73
1725793200,2,290.39,1.16,6.0,86.55,6.97,13.2,15.21,1.82
1725796800,2,297.07,1.09,6.0,89.41,7.03,14.59,16.64,1.76
1725800400,2,300.41,1.02,6.77,91.55,7.63,15.36,17.45,1.71
1725804000,2,293.73,0.75,7.8,91.55,7.75,14.73,16.78,1.63
1725807600,2,283.72,0.42,8.57,90.84,7.33,12.97,14.92,1.57
1725811200,2,280.38,0.17,9.94,89.41,7.75,11.88,13.84,1.57
1725814800,2,283.72,0.04,10.45,88.69,8.11,11.91,13.97,1.55
1725818400,2,283.72,0.0,9.51,90.84,7.75,12.27,14.22,1.44
1725822000,2,280.38,0.0,8.14,92.98,6.91,12.26,13.99,1.23
1725825600,2,277.04,0.0,7.45,94.41,6.62,11.74,13.32,1.12
1725829200,2,273.7,0.0,7.28,95.84,6.56,11.24,12.7,1.04
1725832800,2,270.37,0.0,6.85,97.27,6.32,10.87,12.22,0.98
1725836400,2,273.7,0.0,7.54,94.41,7.09,10.97,12.35,1.01
1725840000,2,277.04,0.0,7.8,89.41,7.39,11.12,12.57,1.08
1725930000,3,247.0,0.0,3.08,105.86,3.64,6.29,6.86,0.79
1725933600,2,250.34,0.0,4.07,95.84,3.78,6.03,6.49,0.46
1725937200,2,263.69,0.0,5.44,73.67,4.11,4.96,5.33,0.28
1725940800,1,277.04,0.0,7.28,56.51,5.19,4.28,4.68,0.32
1725944400,1,287.06,0.0,9.6,50.78,6.74,3.93,4.48,0.43
1725948000,1,287.06,0.02,11.14,44.7,7.33,3.87,4.54,0.51
1725951600,1,277.04,0.14,11.14,43.63,7.57,3.59,4.59,0.58
1725955200,1,267.03,0.28,10.02,47.21,7.33,3.19,4.43,0.66
1725958800,1,260.35,0.4,8.83,52.21,6.79,2.35,3.6,0.77
1725962400,1,257.02,0.75,6.43,59.37,5.48,1.22,2.23,0.76
1725966000,2,250.34,0.76,5.65,66.52,5.13,0.74,1.63,0.77
1725969600,2,250.34,0.85,5.48,72.24,5.25,0.66,1.65,0.83
1725973200,2,250.34,0.73,5.74,76.53,5.42,0.74,2.04,0.92
1725976800,2,253.68,0.49,6.6,72.24,5.9,0.89,2.66,1.01
1725980400,2,257.02,0.33,7.71,65.8,6.44,0.99,3.03,1.09
1725984000,1,267.03,0.32,11.31,57.94,9.06,1.15,3.56,1.31
1725987600,1,277.04,0.16,14.05,50.78,10.97,1.29,4.09,1.5
1725991200,1,283.72,0.0,13.37,47.92,10.49,1.28,4.17,1.46
1725994800,1,287.06,0.0,13.19,46.49,10.37,1.3,4.15,1.3
1725998400,1,287.06,0.0,13.19,45.06,10.49,1.33,4.12,1.19
1726002000,1,287.06,0.0,13.19,44.35,10.25,1.35,3.98,1.08
1726005600,1,277.04,0.0,12.34,44.7,9.3,1.23,3.44,0.98
1726009200,1,270.37,0.0,11.48,45.78,8.94,1.05,2.8,1.01
1726012800,1,267.03,0.0,10.54,49.35,8.7,0.94,2.45,1.01
1726016400,1,263.69,0.0,9.68,52.93,8.58,0.89,2.29,1.03
1726020000,1,263.69,0.0,9.25,57.22,8.46,0.95,2.41,1.06
1726023600,1,260.35,0.0,8.83,59.37,8.23,0.92,2.32,1.03
1726027200,2,253.68,0.0,8.23,61.51,7.45,0.88,2.14,1.04
1726030800,2,260.35,0.01,9.0,63.66,7.63,0.99,2.16,1.16
1726034400,2,267.03,0.12,9.68,65.09,7.39,1.0,1.96,1.23
1726038000,2,270.37,0.19,9.42,63.66,6.91,1.01,1.75,1.06
1726041600,2,273.7,0.32,10.28,61.51,7.87,1.34,2.06,0.9
1726045200,1,277.04,0.44,11.48,58.65,9.06,1.55,2.34,0.84
1726048800,1,277.04,0.38,12.17,55.79,9.78,1.55,2.34,0.74
1726052400,1,273.7,0.42,10.71,56.51,8.34,1.46,2.12,0.55
1726056000,1,270.37,0.36,9.0,58.65,6.74,1.43,1.98,0.44
1726059600,1,267.03,0.27,8.31,59.37,6.08,1.47,1.96,0.39
1726063200,2,260.35,0.15,7.71,62.23,5.42,1.5,1.95,0.4
1726066800,2,253.68,0.07,7.03,66.52,4.65,1.28,1.68,0.39
1726070400,2,257.02,0.03,7.71,65.8,4.95,1.33,1.73,0.4
1726074000,2,263.69,0.01,9.42,60.08,6.2,1.55,2.03,0.45
1726077600,1,267.03,0.0,9.77,51.5,6.02,1.75,2.4,0.43
1726081200,1,267.03,0.0,9.34,45.06,5.54,1.82,2.69,0.42
1726084800,1,260.35,0.01,9.17,39.7,5.25,1.08,1.95,0.44
1726088400,1,257.02,0.0,7.97,44.35,4.65,0.52,1.29,0.42
1726092000,1,257.02,0.0,7.37,46.49,4.65,0.5,1.26,0.4
1726095600,1,257.02,0.01,7.71,41.84,5.3,0.51,1.45,0.4
1726099200,1,260.35,0.01,8.83,35.76,6.14,0.61,1.63,0.42
1726102800,1,263.69,0.02,10.02,31.47,7.27,0.72,1.96,0.48
1726106400,1,267.03,0.03,11.31,29.33,8.23,0.85,2.38,0.53
1726110000,1,273.7,0.05,13.02,27.54,9.3,1.04,2.76,0.57
1726113600,1,283.72,0.07,15.25,24.68,10.97,1.27,3.11,0.63
1726117200,1,300.41,0.17,17.48,21.82,12.64,1.47,3.46,0.78
1726120800,1,310.42,1.38,17.82,23.25,13.59,1.51,3.62,0.92
1726124400,1,307.08,2.6,16.11,30.04,13.71,1.31,3.43,0.97
1726128000,1,300.41,2.4,15.08,35.76,13.35,1.11,3.01,1.11
1726131600,1,290.39,1.34,13.54,42.2,12.04,0.95,2.62,1.2
1726135200,1,267.03,0.43,7.71,54.36,6.62,0.56,1.51,0.85
1726138800,1,263.69,0.39,6.77,57.22,5.84,0.5,1.18,0.8
1726142400,1,263.69,0.48,6.85,57.22,6.2,0.5,1.13,0.85
1726146000,1,267.03,0.85,7.54,57.22,7.39,0.5,1.2,0.97
1726149600,1,277.04,0.78,10.2,55.07,9.42,0.5,1.4,1.19
1726153200,1,283.72,0.55,13.02,51.5,10.61,0.57,1.61,1.36
1726156800,1,287.06,0.23,15.42,48.64,11.44,0.66,1.82,1.47
1726160400,1,293.73,0.04,16.62,46.49,12.16,0.8,2.11,1.57
1726164000,1,297.07,0.0,16.28,45.42,11.8,0.89,2.33,1.49
1726167600,1,310.42,0.01,19.36,40.05,13.59,1.16,2.95,1.47
1726171200,1,330.45,0.02,22.96,33.26,15.5,1.5,3.65,1.42
1726174800,1,333.79,0.02,23.31,30.76,15.5,1.62,3.82,1.22
1726178400,1,327.11,0.03,22.62,27.18,12.28,1.67,3.81,0.77
1726182000,1,323.77,0.07,21.76,21.28,9.54,1.75,3.86,0.52
1726185600,1,320.43,0.12,21.42,16.27,8.82,1.89,4.17,0.48
1726189200,1,317.1,0.24,21.93,11.98,9.42,2.19,4.73,0.51
1726192800,1,323.77,0.48,23.65,7.96,10.25,2.67,5.53,0.49
1726196400,1,333.79,1.19,26.05,3.84,11.09,3.29,6.56,0.49
1726200000,1,347.14,3.19,27.42,1.05,11.68,4.09,7.88,0.5
1726203600,1,390.53,9.61,26.73,0.07,13.23,5.65,10.14,0.64
1726207200,1,447.27,17.43,28.45,0.85,16.45,8.93,14.18,0.9
1726210800,2,473.98,22.13,27.42,2.39,16.93,12.13,17.96,1.03
1726214400,2,473.98,23.69,22.62,3.4,15.26,12.3,18.19,1.31
1726218000,2,447.27,21.68,19.36,4.25,14.9,11.27,16.87,1.84
1726221600,1,313.76,3.49,18.34,34.33,14.54,4.08,6.75,1.5
1726225200,1,283.72,1.73,12.51,46.49,10.73,1.93,3.48,1.36
1726228800,1,277.04,1.52,11.14,50.07,9.89,1.5,2.79,1.44
1726232400,1,277.04,1.48,11.65,50.78,10.25,1.41,2.7,1.61
1726236000,1,280.38,1.42,13.71,48.64,11.32,1.52,3.0,1.87
1726239600,1,287.06,1.24,16.11,45.42,11.8,1.6,3.27,2.06
1726243200,1,323.77,2.15,22.96,29.68,10.49,1.99,3.83,2.44
1726246800,1,380.52,2.37,30.85,10.01,9.89,2.63,4.75,2.94
1726250400,1,427.25,4.25,31.53,2.01,10.25,3.23,5.69,3.23
1726254000,1,453.95,7.15,28.45,0.51,9.89,3.73,6.48,2.72
1726257600,1,467.3,10.17,23.99,0.15,8.82,4.13,7.02,2.09
1726261200,1,467.3,13.63,19.54,0.04,7.63,4.43,7.24,1.6
1726264800,1,433.92,15.2,16.45,0.02,6.68,4.49,7.02,1.23
1726268400,1,373.84,10.62,15.08,0.11,5.25,4.03,6.02,1.28
1726272000,1,310.42,3.16,14.57,2.12,4.11,3.24,4.57,1.41
1726275600,1,267.03,0.02,9.51,28.97,3.93,2.06,2.91,1.04
1726279200,1,260.35,0.01,7.03,37.91,3.58,1.65,2.42,0.74
1726282800,1,260.35,0.0,6.68,40.77,3.87,1.47,2.21,0.61
1726286400,1,257.02,0.01,6.68,42.2,4.23,1.29,1.98,0.57
1726290000,1,260.35,0.02,7.63,38.62,4.71,1.34,2.12,0.63
1726293600,1,267.03,0.54,8.74,35.41,5.42,1.7,2.81,0.69
1726297200,1,263.69,1.79,7.37,37.91,5.72,1.81,3.06,0.78
1726300800,1,257.02,2.37,6.08,38.62,5.66,1.66,2.87,1.0
1726304400,1,253.68,2.43,5.31,40.41,5.66,1.44,2.56,1.22
1726308000,1,250.34,1.16,3.38,57.22,3.52,0.72,1.31,0.78
1726311600,2,247.0,0.82,2.66,62.94,2.83,0.5,0.9,0.6
1726315200,2,243.66,0.73,2.42,62.94,2.62,0.5,0.83,0.55
1726318800,2,240.33,0.66,2.36,60.08,2.53,0.5,0.81,0.51
1726322400,1,243.66,0.63,2.61,57.22,2.56,0.5,0.8,0.52
1726326000,1,243.66,0.52,3.13,57.22,2.53,0.5,0.77,0.55
1726329600,1,250.34,0.29,3.81,57.94,2.59,0.5,0.78,0.62
1726333200,1,253.68,0.05,4.33,57.22,2.77,0.5,0.81,0.73
1726336800,1,257.02,0.0,4.33,57.22,2.86,0.5,0.84,0.81
1726340400,1,257.02,0.0,4.24,57.22,2.86,0.5,0.85,0.84
1726344000,1,260.35,0.0,4.2,57.22,2.86,0.5,0.87,0.91
1726347600,1,257.02,0.0,4.16,58.65,2.83,0.5,0.86,1.0
1726351200,2,253.68,0.0,4.07,60.8,2.77,0.5,0.85,1.08
1726354800,2,253.68,0.0,4.11,61.51,2.89,0.5,0.84,1.14
1726358400,2,253.68,0.0,4.16,61.51,2.95,0.5,0.85,1.19
1726362000,1,253.68,0.0,4.33,59.37,3.1,0.5,0.86,1.17
1726365600,1,253.68,0.0,4.63,56.51,3.34,0.5,0.9,1.08
1726369200,1,253.68,0.0,5.18,53.64,3.67,0.5,0.98,0.93
1726372800,1,253.68,0.0,5.83,49.35,3.99,0.5,1.08,0.81
1726376400,1,260.35,0.01,7.28,43.99,4.53,0.51,1.2,0.83
1726380000,1,267.03,0.53,8.65,39.7,5.13,0.61,1.4,0.93
1726383600,1,270.37,1.73,8.4,38.27,5.96,0.65,1.52,1.08
1726387200,1,267.03,2.51,7.37,40.41,6.68,0.62,1.52,1.28
1726390800,1,263.69,2.65,6.85,45.06,7.39,0.58,1.52,1.41
1726394400,1,253.68,1.7,5.14,59.37,5.78,0.5,1.2,1.01
1726398000,2,250.34,1.4,4.54,64.37,5.13,0.5,1.11,0.89
1726401600,2,250.34,1.34,4.58,65.8,5.13,0.5,1.09,0.9
1726405200,2,253.68,1.4,5.18,65.8,5.72,0.53,1.15,0.97
1726408800,2,257.02,1.56,6.77,63.66,6.74,0.62,1.36,1.11
1726412400,1,260.35,1.55,9.08,59.37,7.51,0.71,1.6,1.23
1726416000,1,273.7,1.2,13.19,50.07,7.75,0.85,1.96,1.35
1726419600,1,280.38,0.24,15.59,41.13,6.56,0.98,2.32,1.23
1726423200,1,280.38,0.01,13.54,41.13,5.25,1.01,2.42,0.78
1726426800,1,280.38,0.01,11.48,43.27,4.23,0.99,2.3,0.46
1726430400,1,283.72,0.01,11.48,41.13,3.99,1.06,2.3,0.46
1726434000,1,283.72,0.01,11.82,37.55,3.76,1.11,2.3,0.47
1726437600,1,267.03,0.02,11.14,35.05,3.31,1.09,2.19,0.38
1726441200,1,260.35,0.03,11.31,31.11,3.78,1.13,2.26,0.31
1726444800,1,257.02,0.03,11.65,27.54,4.41,1.23,2.4,0.26
1726448400,1,260.35,0.1,12.85,20.21,4.71,1.42,2.46,0.27
1726452000,1,263.69,0.34,13.02,11.0,4.53,1.59,2.42,0.36
1726455600,1,263.69,0.75,12.17,6.62,4.65,1.64,2.29,0.54
1726459200,1,260.35,1.15,11.48,5.36,4.71,1.58,2.21,0.7
1726462800,1,290.39,2.46,14.05,3.76,5.3,1.71,2.72,0.69
1726466400,1,320.43,5.25,17.14,5.23,6.2,1.96,3.28,0.7
1726470000,1,300.41,2.51,17.31,25.39,6.74,1.51,2.96,0.74
1726473600,1,290.39,2.51,15.25,30.4,7.63,1.33,3.02,0.99
1726477200,1,280.38,2.01,14.91,31.83,9.3,1.27,3.19,1.23
1726480800,1,270.37,1.31,14.74,38.27,10.37,1.39,3.16,1.27
1726484400,1,280.38,1.76,15.77,34.33,10.25,1.75,3.39,1.17
1726488000,1,287.06,2.24,16.62,30.76,10.13,2.13,3.79,1.04
1726491600,1,297.07,2.29,19.54,26.11,11.32,2.62,4.52,1.17
1726495200,1,307.08,1.69,23.65,20.56,12.64,3.1,5.29,1.35
1726498800,1,320.43,1.63,28.45,14.66,13.59,3.55,5.95,1.57
1726502400,1,323.77,1.27,30.5,11.09,12.99,3.79,6.16,1.61
1726506000,1,320.43,0.57,27.08,11.98,10.85,3.65,5.67,1.38
1726509600,1,307.08,0.24,21.08,15.38,8.58,3.24,4.78,1.09
1726513200,1,293.73,0.17,16.28,16.63,6.68,2.96,4.17,0.81
1726516800,1,290.39,0.24,14.39,14.13,5.84,2.97,4.06,0.7
1726520400,1,287.06,0.32,13.54,11.98,5.36,3.05,4.11,0.65
1726524000,1,273.7,0.26,13.02,12.52,5.07,3.1,4.11,0.59
1726527600,1,270.37,0.13,12.34,16.63,5.07,3.12,4.12,0.56
1726531200,1,267.03,0.05,11.31,22.89,4.95,2.96,3.97,0.58
1726534800,1,260.35,0.04,10.37,25.75,4.65,2.54,3.63,0.6
1726538400,1,257.02,0.07,10.37,22.35,4.89,2.23,3.46,0.66
1726542000,1,257.02,0.13,11.31,18.24,5.66,2.1,3.56,0.77
1726545600,1,267.03,0.26,13.71,15.02,6.74,2.21,3.97,0.85
1726549200,1,307.08,0.67,19.02,11.8,7.87,2.73,4.87,0.97
1726552800,1,333.79,1.77,23.31,11.0,8.58,3.43,5.9,1.08
1726556400,1,327.11,5.03,19.88,14.31,9.54,3.79,6.53,1.11
1726560000,1,330.45,8.61,16.28,15.74,10.73,3.98,7.04,1.22
1726563600,1,323.77,9.5,15.08,18.78,12.87,4.04,7.43,1.44
1726567200,1,287.06,5.42,16.62,38.98,18.6,3.66,7.14,1.71
1726570800,1,277.04,4.75,16.45,42.92,18.6,3.66,7.21,1.77
1726574400,1,270.37,3.86,15.77,45.78,17.17,3.54,6.9,1.71
1726578000,1,260.35,1.9,12.17,58.65,12.04,2.93,5.36,1.28
1726581600,2,263.69,1.27,12.17,63.66,10.97,2.86,5.0,1.2
1726585200,2,267.03,0.89,14.05,62.94,11.09,3.12,5.27,1.28
1726588800,1,303.75,1.06,21.93,44.35,10.37,3.86,6.22,1.61
1726592400,1,360.49,0.56,29.13,20.56,9.42,4.83,7.7,1.61
1726596000,1,390.53,0.79,28.45,10.73,8.7,5.51,8.87,1.3
1726599600,1,403.88,1.16,26.39,7.51,8.23,5.79,9.32,1.11
1726603200,1,403.88,1.44,24.33,5.81,7.75,5.72,9.12,1.01
1726606800,1,387.19,2.04,21.93,3.84,6.68,5.44,8.47,0.89
1726610400,1,343.8,2.6,18.34,2.21,5.25,4.87,7.33,0.7
1726614000,1,307.08,3.13,14.74,1.1,4.59,4.39,6.08,0.57
1726617600,1,283.72,3.8,11.82,0.46,4.41,4.15,5.22,0.51
1726621200,1,270.37,4.53,10.11,0.24,4.65,4.18,4.91,0.55
1726624800,1,263.69,4.92,9.85,0.25,5.48,4.49,5.3,0.78
1726628400,1,263.69,5.2,11.14,0.37,6.74,5.14,6.23,1.14
1726632000,1,273.7,4.75,14.05,0.86,7.99,6.21,7.63,1.31
1726635600,1,313.76,6.37,16.96,0.68,9.18,7.19,8.92,1.46
1726639200,1,347.14,9.72,19.19,0.73,10.37,7.64,9.61,1.66
1726642800,1,360.49,12.52,19.36,1.94,11.44,7.52,9.88,1.5
1726646400,1,373.84,15.65,17.82,3.35,12.64,6.51,9.66,1.27
1726650000,1,367.16,15.65,17.14,5.1,14.07,6.22,10.13,1.14
1726653600,2,313.76,8.94,21.25,20.21,22.65,5.75,10.32,1.63
1726657200,2,297.07,7.93,21.42,25.39,23.84,5.62,10.61,1.85
1726660800,2,290.39,8.05,20.39,29.68,23.84,5.49,10.61,2.06
1726664400,1,277.04,5.98,16.96,41.84,18.36,4.96,8.93,1.82
1726668000,1,280.38,4.58,18.34,45.06,16.21,4.8,8.07,1.79
1726671600,1,290.39,3.8,22.28,40.41,16.21,5.0,8.12,1.99
1726675200,1,327.11,2.99,30.5,25.03,14.19,5.51,8.59,2.31
1726678800,1,383.85,2.49,34.96,6.79,11.8,6.25,9.47,2.22
1726682400,1,427.25,5.48,29.82,1.17,10.61,7.0,10.61,1.68
1726686000,1,460.62,8.27,25.36,0.34,9.89,7.68,11.68,1.14
1726689600,1,480.65,9.72,23.31,0.19,9.3,8.29,12.57,0.87
1726693200,1,480.65,10.51,21.93,0.12,8.46,8.72,13.0,0.71
1726696800,1,460.62,10.06,21.25,0.09,7.51,8.95,12.17,0.59
1726700400,1,433.92,8.61,20.22,0.09,6.79,8.95,11.07,0.48
1726704000,1,403.88,7.6,17.99,0.09,6.02,8.69,9.91,0.38
1726707600,1,377.18,7.49,14.91,0.08,5.48,7.78,8.56,0.33
1726711200,1,343.8,8.05,12.34,0.06,5.48,7.24,8.04,0.34
1726714800,1,323.77,9.05,10.97,0.05,5.84,7.3,8.25,0.39
1726718400,1,317.1,10.28,11.65,0.06,6.62,7.95,9.37,0.44
1726722000,1,350.48,13.63,13.71,0.04,8.34,9.11,10.78,0.59
1726725600,2,387.19,17.21,17.82,0.28,10.61,10.47,12.38,0.7
1726729200,2,410.56,19.0,21.93,2.41,14.19,12.52,15.61,0.78
1726732800,2,467.3,27.05,20.22,5.54,17.17,12.47,17.1,1.12
1726736400,2,507.35,33.08,20.22,8.31,20.03,12.4,18.54,1.35
1726740000,2,440.6,20.34,32.56,31.11,37.67,14.95,22.97,1.92
1726743600,2,403.88,13.63,33.59,47.21,38.15,14.07,22.68,2.31
1726747200,2,373.84,10.28,32.22,57.22,36.72,12.55,21.62,2.63
1726750800,2,313.76,5.03,21.59,70.81,24.56,9.61,16.81,2.01
1726754400,2,277.04,2.57,14.74,75.1,15.97,7.87,12.97,1.46
1726758000,2,270.37,1.55,13.54,72.96,13.11,9.06,13.1,1.19
1726761600,2,290.39,0.89,17.99,62.94,13.83,11.79,15.54,1.28
1726765200,2,317.1,0.1,21.42,50.78,13.59,15.2,19.37,1.23
1726768800,2,323.77,0.0,19.71,47.21,10.97,16.7,20.99,0.82
1726772400,2,320.43,0.0,17.99,45.42,9.18,15.18,19.08,0.54
1726776000,2,317.1,0.01,17.48,41.84,8.46,12.99,16.37,0.48
1726779600,2,313.76,0.01,17.48,36.84,7.75,11.63,14.63,0.44
1726783200,2,303.75,0.01,16.11,33.62,6.5,10.59,13.18,0.36
1726786800,1,293.73,0.02,13.88,31.83,5.6,9.69,11.92,0.35
1726790400,1,287.06,0.02,12.17,30.4,5.36,9.25,11.21,0.36
1726794000,1,283.72,0.03,10.88,28.25,5.3,9.2,10.87,0.39
1726797600,1,277.04,0.04,10.02,25.39,5.25,9.41,10.99,0.41
1726801200,1,270.37,0.07,9.77,22.17,5.48,9.75,11.31,0.44
1726804800,2,270.37,0.15,10.71,17.88,6.02,10.08,11.67,0.48
1726808400,2,287.06,0.52,13.71,11.98,6.85,10.24,12.0,0.61
1726812000,2,307.08,2.12,16.96,6.53,7.51,10.27,12.28,0.78
1726815600,1,320.43,5.64,16.11,6.79,8.46,9.66,12.05,0.93
1726819200,1,313.76,8.27,12.68,12.16,9.54,8.67,11.73,0.92
1726822800,1,293.73,8.05,11.14,19.67,11.09,7.96,11.53,1.03
1726826400,1,260.35,4.64,11.48,45.06,13.59,6.62,10.19,1.28
1726830000,1,250.34,3.52,10.37,55.07,12.4,6.05,9.24,1.25
1726833600,2,243.66,2.74,9.42,62.94,11.09,5.52,8.04,1.16
1726837200,2,236.99,1.82,8.05,70.81,8.46,4.73,6.62,0.98
1726840800,2,236.99,1.62,8.57,68.66,8.34,4.74,6.59,1.09
1726844400,2,240.33,1.3,10.11,62.94,8.46,4.9,6.83,1.27
1726848000,1,247.0,0.69,12.51,56.51,8.46,4.71,6.75,1.35
1726851600,1,250.34,0.05,12.17,51.5,7.63,4.43,6.56,1.19
1726855200,1,253.68,0.0,10.11,52.21,6.32,4.46,6.42,0.93
1726858800,1,253.68,0.0,9.51,52.21,5.78,5.64,7.53,0.78
1726862400,1,257.02,0.0,9.08,50.07,5.48,7.08,9.05,0.69
1726866000,1,253.68,0.0,8.57,47.92,5.07,7.77,9.74,0.59
1726869600,1,243.66,0.0,7.88,45.78,4.59,7.96,9.83,0.5
1726873200,1,236.99,0.0,6.68,43.63,3.81,7.95,9.66,0.4
1726876800,1,233.65,0.0,6.25,40.77,3.67,8.05,9.56,0.37
1726880400,1,233.65,0.01,6.25,37.19,3.78,8.23,9.66,0.37
1726884000,1,230.31,0.01,6.17,33.62,3.93,8.36,9.7,0.38
1726887600,1,226.97,0.02,6.34,30.04,4.29,8.48,9.75,0.4
1726891200,1,226.97,0.04,6.77,26.11,4.65,8.57,9.76,0.44
1726894800,1,230.31,0.11,7.97,20.38,5.13,8.5,9.71,0.56
1726898400,1,230.31,0.67,8.65,15.74,5.42,8.11,9.28,0.67
1726902000,1,230.31,2.24,8.23,14.48,6.5,7.1,8.42,0.75
1726905600,1,226.97,3.19,8.23,14.84,7.63,5.68,7.15,0.84
1726909200,1,213.62,2.21,7.45,19.31,6.56,3.86,5.12,0.88
1726912800,1,216.96,0.61,5.57,41.84,4.05,1.74,2.63,0.65
1726916400,1,233.65,0.43,5.57,53.64,4.05,0.9,1.71,0.67
1726920000,1,243.66,0.44,6.43,55.79,4.59,0.63,1.44,0.79
1726923600,1,250.34,0.38,7.71,56.51,5.48,0.56,1.38,0.95
1726927200,1,250.34,0.25,8.14,58.65,5.54,0.53,1.34,1.03
1726930800,2,253.68,0.11,8.48,62.23,5.25,0.52,1.3,1.06
1726934400,2,250.34,0.03,7.8,66.52,4.41,0.51,1.27,1.03
1726938000,2,247.0,0.0,6.43,69.38,3.7,0.5,1.29,0.91
1726941600,2,243.66,0.0,5.18,72.24,3.22,0.5,1.31,0.75
1726945200,2,240.33,0.0,4.33,75.1,2.77,0.5,1.29,0.6
1726948800,2,243.66,0.0,4.41,75.82,2.89,0.5,1.32,0.56
1726952400,2,243.66,0.0,4.76,74.39,3.1,0.5,1.38,0.55
1726956000,2,243.66,0.0,5.91,70.1,3.93,0.51,1.49,0.63
1726959600,2,243.66,0.0,7.11,62.94,4.65,0.59,1.72,0.73
1726963200,1,243.66,0.0,7.63,57.94,4.95,0.66,1.86,0.74
1726966800,1,243.66,0.0,8.48,51.5,5.42,0.74,2.0,0.74
1726970400,1,243.66,0.0,9.42,45.42,5.72,0.85,2.16,0.71
1726974000,1,247.0,0.0,10.37,40.77,5.96,0.94,2.32,0.68
1726977600,1,247.0,0.01,10.88,38.27,5.96,0.97,2.4,0.66
1726981200,1,257.02,0.01,12.51,37.91,6.38,1.02,2.57,0.74
1726984800,1,267.03,0.05,15.42,38.62,7.21,1.11,2.84,0.84
1726988400,1,270.37,0.2,16.28,41.13,7.87,1.11,3.08,0.85
1726992000,1,267.03,0.53,16.62,42.56,8.46,1.06,3.27,0.84
1726995600,1,263.69,0.75,14.57,51.5,8.82,0.87,3.03,0.8
1726999200,2,257.02,0.57,9.68,67.23,7.39,0.6,2.09,0.66
1727002800,2,253.68,0.51,8.48,70.1,6.97,0.57,1.86,0.65
1727006400,2,253.68,0.47,8.57,71.53,7.03,0.58,1.88,0.68
1727010000,2,257.02,0.36,10.02,70.81,8.23,0.64,2.05,0.81
1727013600,2,260.35,0.27,12.34,67.95,9.78,0.75,2.36,1.0
1727017200,2,263.69,0.14,13.71,66.52,10.01,0.84,2.5,1.09
1727020800,2,270.37,0.04,15.42,64.37,10.61,0.96,2.69,1.17
1727024400,2,280.38,0.0,17.14,61.51,11.92,1.13,3.03,1.23
1727028000,2,283.72,0.0,16.62,60.8,11.92,1.26,3.19,1.12
1727031600,2,283.72,0.0,15.08,60.8,10.97,1.28,3.19,0.9
1727035200,2,283.72,0.0,14.05,60.08,9.89,1.32,3.2,0.71
1727038800,1,277.04,0.0,13.19,59.37,9.06,1.37,3.18,0.58
1727042400,1,267.03,0.0,12.0,58.65,7.87,1.42,3.14,0.44
1727046000,1,263.69,0.0,12.34,54.36,7.75,1.57,3.3,0.4
1727049600,1,263.69,0.0,13.19,50.07,8.34,1.8,3.66,0.39
1727053200,1,267.03,0.0,14.22,43.99,8.7,2.01,4.03,0.4
1727056800,1,270.37,0.01,15.08,38.27,8.94,2.15,4.35,0.43
1727060400,1,273.7,0.01,15.59,33.97,9.42,2.24,4.6,0.47
